detail_code,detail_name,a_cluster,a_name,b_cluster,b_name,c_cluster,c_name,d_cluster,d_name,class_flag,version,v_index
0.1401,噁唑烷酮类抗生素注射或输注,0.14,噁唑烷酮类抗生素注射或输注,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.1501,大剂量白细胞介素-2[IL-2]输注,0.15,大剂量白细胞介素-2[IL-2]输注,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.1601,经活体外血管治疗,0.16,药物的静脉旁路移植[引导]加压疗法,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.1602,高压移植[引导],0.16,药物的静脉旁路移植[引导]加压疗法,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.1701,血管加压剂灌注,0.17,血管加压剂灌注,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.1801,单克隆抗体治疗,0.18,输注免疫抑制抗体疗法,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.1802,多克隆抗体治疗,0.18,输注免疫抑制抗体疗法,0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.1901,经输注的血脑屏障破坏术[BBBD],0.19,经输注的血脑屏障破坏术[BBBD],0.1,药物制剂,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.2001,血管内超声(IVUS),0.2,血管内超声(IVUS),0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.2102,颅外脑血管血管内超声(IVUS),0.21,颅外脑血管的血管内显像,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.2101,颈动脉血管内超声(IVUS),0.21,颅外脑血管的血管内显像,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.2201,胸内血管血管内超声(IVUS),0.22,胸内血管的血管内显像,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.2202,胸主动脉血管内超声(IVUS),0.22,胸内血管的血管内显像,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.2301,周围血管的血管内显像,0.23,周围血管的血管内显像,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.2401,冠状血管的血管内显像,0.24,冠状血管的血管内显像,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.2501,肾血管的血管内显像,0.25,肾血管的血管内显像,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.2801,血管内显像，其他特指的血管,0.28,血管内显像，其他特指的血管,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.2902,光学相干(OCT),0.29,血管内显像，未特指的血管,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.2901,血管内显像,0.29,血管内显像，未特指的血管,0.2,血管的血管内显像,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.3001,导航下骨折闭合复位内固定,0.3,导航下骨折闭合复位内固定,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.3002,导航下骨折开放复位内固定,0.3,导航下骨折闭合复位内固定,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.3101,CT导航计算机辅助外科手术,0.31,CT或CTA的计算机辅助外科手术,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.3201,MR神经导航计算机辅助外科手术,0.32,MR/MRA的计算机辅助外科手术,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.3301,荧光透视的计算机辅助外科手术,0.33,荧光透视的计算机辅助外科手术,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.3401,非显像导航计算机辅助外科手术,0.34,非显像计算机辅助外科手术,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.3501,多数据的计算机辅助外科手术,0.35,多数据的计算机辅助外科手术,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.3901,其他计算机辅助外科手术,0.39,其他计算机辅助外科手术,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.3902,导航下正颌矫正术,0.39,其他计算机辅助外科手术,0.3,计算机辅助外科手术[CAS],0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.4001,单根血管操作,0.4,单根血管操作,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4101,两根血管操作,0.41,两根血管操作,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4201,三根血管操作,0.42,三根血管操作,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4302,四根以上血管操作,0.43,四根或更多根血管操作,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.4301,四根血管操作,0.43,四根或更多根血管操作,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4401,分支血管操作,0.44,分支血管操作,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4501,置入一根血管的支架,0.45,置入一根血管的支架,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4601,置入两根血管的支架,0.46,置入两根血管的支架,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4701,置入三根血管的支架,0.47,置入三根血管的支架,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4802,四根以上血管支架置入,0.48,置入四根或更多根血管的支架,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.4801,四根血管支架置入,0.48,置入四根或更多根血管的支架,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.4901,过饱和氧化治疗,0.49,过饱和氧化治疗,0.4,附属血管系统操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5001,心脏再同步起搏器置入术,0.5,心脏再同步起搏器置入未提及去除心脏纤颤，全系统[CRT-P],0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5002,心脏再同步起搏器置换术,0.5,心脏再同步起搏器置入未提及去除心脏纤颤，全系统[CRT-P],0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5102,心脏再同步除颤器置换术,0.51,心脏再同步除颤器置入，全系统[CRT-D],0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5101,心脏再同步除颤器置入术,0.51,心脏再同步除颤器置入，全系统[CRT-D],0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5202,左心室冠状静脉导线[电极]置换术,0.52,置入或置换经静脉进入左心室冠状静脉系统的导线,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5201,左心室冠状静脉导线[电极]置入术,0.52,置入或置换经静脉进入左心室冠状静脉系统的导线,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5302,心脏再同步起搏器脉冲发生器置换术,0.53,仅置入或置换心脏再同步起搏器脉冲发生器[CRT-P],0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5301,心脏再同步起搏器脉冲发生器置入术,0.53,仅置入或置换心脏再同步起搏器脉冲发生器[CRT-P],0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5401,心脏再同步除颤器脉冲发生器置入术,0.54,仅置入或置换心脏再同步除颤器脉冲发生器装置[CRT-D],0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5402,心脏再同步除颤器脉冲发生器置换术,0.54,仅置入或置换心脏再同步除颤器脉冲发生器装置[CRT-D],0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5501,锁骨下动脉药物洗脱支架置入术,0.55,周围血管药物洗脱支架置入,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5502,股总动脉药物洗脱支架置入术,0.55,周围血管药物洗脱支架置入,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5601,植入型压力传感器与导线的置入，用于心内或大血管血液动力学监测,0.56,置入或置换植入型压力传感器与导线，用于心内或大血管血液动力学监测,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5602,植入型压力传感器与导线的置换，用于心内或大血管血液动力学监测,0.56,置入或置换植入型压力传感器与导线，用于心内或大血管血液动力学监测,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5701,心内或大血管的血流动力学监测皮下装置置入或置换,0.57,心内血流动力学监测的皮下装置置入或置换,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.5801,置入动脉瘤囊内压力监测装置（手术中）,0.58,置入动脉瘤囊内压力监测装置（手术中）,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5902,冠状动脉血流储备分数检查,0.59,冠状动脉血管内压力测量,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.5901,冠脉瞬时无波形比值检查[iFR检查],0.59,冠状动脉血管内压力测量,0.5,其他心血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.6001,表浅股动脉药物洗脱支架置入,0.6,表浅股动脉药物洗脱支架置入,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.6102,经皮椎动脉球囊扩张成形术,0.61,颅外血管经皮血管成形术,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.6101,经皮颈动脉球囊扩张成形术,0.61,颅外血管经皮血管成形术,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.6201,经皮基底动脉球囊扩张成形术,0.62,颅内血管经皮血管成形术或动脉粥样斑块切除术,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.6202,经皮交通动脉血管球囊扩张成形术,0.62,颅内血管经皮血管成形术或动脉粥样斑块切除术,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.6301,脑保护伞下颈动脉支架置入术,0.63,颈动脉支架经皮置入,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.6401,经皮椎动脉非药物洗脱支架置入术,0.64,其他入脑前（颅外）动脉支架经皮置入,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.6501,大脑中动脉支架经皮置入术,0.65,颅内血管支架经皮置入,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.6502,基底动脉支架经皮置入术,0.65,颅内血管支架经皮置入,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.6601,经皮冠状动脉腔内血管成形术[PTCA],0.66,经皮冠状动脉腔内血管成形术[PTCA],0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.6603,单个冠状动脉球囊扩张术,0.66,经皮冠状动脉腔内血管成形术[PTCA],0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.6602,冠状动脉球囊扩张术,0.66,经皮冠状动脉腔内血管成形术[PTCA],0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.6604,多个冠状动脉球囊扩张术,0.66,经皮冠状动脉腔内血管成形术[PTCA],0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海版,v01
0.6701,主动脉血管内压测定,0.67,胸内动脉的血管内压力测量,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.6801,周围动脉的血管内压力测量,0.68,周围动脉的血管内压力测量,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.6901,外周静脉内压力测量,0.69,血管内压力测量，其他特指的和未特指的血管,0.6,血管操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.7001,髋关节置换修复术，双髋臼和股骨成分,0.7,髋关节置换修复术，双髋臼和股骨成分,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.7101,髋关节置换修复术，髋臼成分,0.71,髋关节置换修复术，髋臼成分,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.7201,人工股骨干和股骨头修复术,0.72,髋关节置换修复术，股骨成分,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.7301,人工股骨头修复术,0.73,髋关节修复术伴仅髋臼衬垫置换和（或）股骨头,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.7401,髋轴面，金属与聚乙烯,0.74,髋轴面，金属与聚乙烯,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.7501,髋轴面，金属与金属,0.75,髋轴面，金属与金属,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.7601,黑金股骨头,0.76,髋轴面，陶瓷与陶瓷,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.7701,髋轴面，陶瓷与聚乙烯,0.77,髋轴面，陶瓷与聚乙烯,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.7801,髋轴面，陶瓷与金属,0.78,髋轴面，陶瓷与金属,0.7,髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
0.8001,膝关节置换修复术，全部（所有成分）,0.8,膝关节置换修复术，全部（所有成分）,0.8,膝关节和髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.8101,膝关节置换修复术，胫骨成分,0.81,膝关节置换修复术，胫骨成分,0.8,膝关节和髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.8201,膝关节置换修复术，股骨成分伴胫骨（衬垫）置入,0.82,膝关节置换修复术，股骨成分,0.8,膝关节和髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.8301,膝关节置换修复术，髌骨成分,0.83,膝关节置换修复术，髌骨成分,0.8,膝关节和髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.8401,全膝关节置换修复术，胫骨置入（衬垫）,0.84,全膝关节置换修复术，胫骨置入（衬垫）,0.8,膝关节和髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.8501,髋关节表面置换，全部，髋臼和股骨头,0.85,髋关节表面置换，全部，髋臼和股骨头,0.8,膝关节和髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.8601,髋关节表面置换，部分的，股骨头,0.86,髋关节表面置换，部分的，股骨头,0.8,膝关节和髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.8701,髋关节表面置换，部分的，髋臼,0.87,髋关节表面置换，部分的，髋臼,0.8,膝关节和髋关节的其他操作,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.9101,与供者有血缘关系的活体移植,0.91,与供者有血缘关系的活体移植,0.9,其他操作和介入,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.9201,与供者无血缘关系的活体移植,0.92,与供者无血缘关系的活体移植,0.9,其他操作和介入,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.9301,从尸体上移植,0.93,从尸体上移植,0.9,其他操作和介入,0,操作和介入NEC,0,操作和介入 NEC,操作,上海_全国2017版,v01
0.9401,手术中神经生理监测,0.94,手术中神经生理监测,0.9,其他操作和介入,0,操作和介入NEC,0,操作和介入 NEC,操作,全国2017版,v01
1.0101,脑池穿刺,1.01,脑池穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.0204,脑脓肿穿刺引流术,1.02,经以前置入导管的脑室穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.0201,经以前植入导管的脑室穿刺,1.02,经以前置入导管的脑室穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.0202,脑室穿刺引流术,1.02,经以前置入导管的脑室穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.0203,小脑穿刺术,1.02,经以前置入导管的脑室穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.0903,颅内硬膜下冲洗术,1.09,其他颅的穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.0905,前囟穿刺术,1.09,其他颅的穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.0904,帽状腱膜下血肿穿刺吸引术,1.09,其他颅的穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.0902,颅内硬膜外冲洗术,1.09,其他颅的穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.0901,颅内穿刺引流术,1.09,其他颅的穿刺,1,颅穿刺,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.1001,颅内压监测,1.1,颅内压监测,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,全国2017版,v02
1.1101,闭合性[经皮][针吸]脑膜活组织检查,1.11,闭合性[经皮][针吸]脑膜活组织检查,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.1201,开放性脑膜活组织检查,1.12,开放性脑膜活组织检查,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.1302,脑闭合性活组织检查术,1.13,闭合性[经皮][针吸]大脑活组织检查,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.1301,神经导航下颅内病变活组织检查,1.13,闭合性[经皮][针吸]大脑活组织检查,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.1304,脑立体定向活检术,1.13,闭合性[经皮][针吸]大脑活组织检查,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.1303,脑立体定向活检术,1.13,闭合性[经皮][针吸]大脑活组织检查,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.1401,开放性大脑活组织检查,1.14,开放性大脑活组织检查,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.1501,颅骨活组织检查,1.15,颅骨活组织检查,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.1601,颅内氧监测,1.16,颅内氧监测,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,全国2017版,v02
1.1701,脑温度监测,1.17,脑温度监测,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,全国2017版,v02
1.1803,脑组织氧分压监护探头置入术,1.18,大脑和脑膜其他诊断性操作,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.1802,脑温探头置入术,1.18,大脑和脑膜其他诊断性操作,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海版,v02
1.1801,大脑和脑膜其他诊断性操作,1.18,大脑和脑膜其他诊断性操作,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.1901,颅骨其他诊断性操作,1.19,颅骨其他诊断性操作,1.1,颅、脑和脑膜诊断性操作,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.2001,颅神经刺激脉冲发生器植入,1.2,颅神经刺激脉冲发生器植入或置换,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,全国2017版,v02
1.2002,颅神经刺激脉冲发生器置换,1.2,颅神经刺激脉冲发生器植入或置换,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,全国2017版,v02
1.2101,脑静脉窦切开引流术,1.21,脑静脉窦切开引流术,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.2201,去除颅内神经刺激器导线,1.22,去除颅内神经刺激器导线,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.2301,颅骨切开术部位的再切开,1.23,颅骨切开术部位的再切开,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.2406,神经内镜下环枕减压术,1.24,其他颅骨切开术,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.2408,颅内血肿清除术,1.24,其他颅骨切开术,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.241,颞肌下减压术,1.24,其他颅骨切开术,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.2401,颅后窝血肿清除术,1.24,其他颅骨切开术,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
1.2412,硬脑膜外切开引流术,1.24,其他颅骨切开术,1.2,颅骨切开术和颅骨切除术,1,颅、脑和脑膜的切开术和切除术,1月5日,神经系统手术,手术,上海_全国2017版,v02
